Song Name,Artists,Artist_ID,Track_ID
Cornfield Chase,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,6pWgRkpqVfxnj3WuIcJ7WP
No Time for Caution,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,5aaXqH8rgKZxg61HjECldi
Mountains,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,0Sg3UL7f40ulmTh0Xwr6qY
Organ Variation,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,6dkJvNZ7DJWzTFXv3KHmoT
Seven Nation Army,The White Stripes,4F84IBURUo98rz4r61KF70,3dPQuX8Gs42Y7b454ybpMR
Thunderstruck,AC/DC,711MCceyCBcFnzjGY4Q7Un,57bgtoPSgt236HzfBOd8kj
Beat It,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,3BovdzfaX4jb5KFQwoPfAw
Last Resort,Papa Roach,4RddZ3iHvSpGV4dvATac9X,5W8YXBz9MTIDyrpYaCg2Ky
21 Guns,Green Day,7oPftvlwr6VrsViSDV7fJY,64yrDBpcdwEdNY9loyEGbX
Pumped Up Kicks,Foster The People,7gP3bB2nilZXLfPHJhMdvc,7w87IxuO7BDcJ3YUqCyMTT
Africa,TOTO,0PFtn5NtBbbUNbU9EAmIWF,2374M0fQpWi3dLnB54qaLX
Wake Me up When September Ends,Green Day,7oPftvlwr6VrsViSDV7fJY,3ZffCQKLFLUvYM59XKLbVm
Immigrant Song - Remaster,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,78lgmZwycJ3nzsdgmPPGNx
American Idiot,Green Day,7oPftvlwr6VrsViSDV7fJY,6nTiIhLmQ3FWhvrGafw2zj
Shut Up and Dance,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,4kbj5MwxO1bq9wjT5g9HaA
Summer Of '69,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,0GONea6G2XdnHWjNZd6zt3
The Sound of Silence,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,0eZBeB2xFIS65jQHerispi
November Rain,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,3YRCqOhFifThpSRFJ1VWFM
Knockin' On Heaven's Door,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,4JiEyzf0Md7KEFFGWDDdCr
Sweet Home Alabama,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,7e89621JPkKaeDSTQ3avtg
You Shook Me All Night Long,AC/DC,711MCceyCBcFnzjGY4Q7Un,2SiXAy7TuUkycRVbbWDEpo
Smooth Criminal - 2012 Remaster,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,5T7ywazdGIydr6JCW6t02j
Snow (Hey Oh),Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,2aibwv5hGXSgw7Yru8IYTO
"You're Gonna Go Far, Kid",The Offspring,5LfGQac0EIXyAN8aUwmNAQ,6TfBA04WJ3X1d1wXhaCFVT
Mr. Brightside,The Killers,0C0XlULifJtAgn6ZNCW2eu,003vvx7Niy0yvhvHt4a68B
Highway to Hell,AC/DC,711MCceyCBcFnzjGY4Q7Un,2zYzyRzz6pRmhPzyfMEC8s
Centuries,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,04aAxqtGp5pv12UXAg4pkq
It's My Life,Bon Jovi,58lV9VcRSjABbAbfWS6skp,0v1XpBHnsbkCn7iJ9Ucr1l
Toss A Coin To Your Witcher,"Sonya Belousova, Giona Ostinelli, Joey Batey",0JnNzCUsHuDcUcBatOzuGP,2KMLGJ1mPfRE4GNdL92rl3
Sleepwalking,The Chain Gang Of 1974,0LyfQWJT6nXafLPZqxe9Of,0j4mJiFv3L87bl9X5MPMsm
Paint The Town Red,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,2IGMVunIBsBLtEQyoI1Mu7
Houdini,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,4OMJGnvZfDvsePyCwRGO7X
Levitating,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,39LLxExYz6ewLAcYrzQQyP
Sweet Victory,"David Glen Eisley, Bob Kulick",7iAUZj65TsyjfcvprSYb9w,287pDdRjRYf7sd84fzupQo
Free Bird - Edit,Lynyrd Skynyrd,0LyfQWJT6nXafLPZqxe9Of,4D65zMx01EirTnqzJMJ9PF
All Day and All of the Night,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,78JmElAFmrPNhLjovDR9Jm
Trndsttr,"Black Coast, M. Maggie",4JMdvZoXArDVuMNNelKmjo,4j2NMbqTSjcWgcAS70N4oD
Run Boy Run,Woodkid,44TGR1CzjKBxSHsSEy7bi9,0boS4e6uXwp3zAvz1mLxZS
Dog Days Are Over,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,1YLJVmuzeM2YSUkCCaTNUB
Eye For an Eye,Rina Sawayama,75fIuwXxhZ1atNzWLMrgF0,1hRrievgkY2btSO22ijJnB
